customer_id,signup_date,churn_date,region,age,plan,service,contract,payment_method,monthly_charges,support_tickets,avg_satisfaction,data_usage_gb,add_ons,late_payments,churned
C100066,2024-11-10,,East,25,Standard,Fiber,2 Year,Credit Card,980,2,3.3,209.3,1,0,0
C100067,2023-12-23,,South,28,Basic,Broadband,2 Year,Net Banking,691,1,3.3,46.7,2,1,0
C100068,2025-01-21,,North,35,Basic,Fiber,Month-to-Month,Credit Card,507,2,3.4,61.2,0,1,0
C100069,2024-09-26,,South,49,Standard,Fiber,Month-to-Month,UPI,1030,2,3.0,127.7,1,0,0
C100070,2024-08-03,,North,41,Basic,5G,Month-to-Month,UPI,539,0,4.7,35.3,0,0,0
C100071,2024-09-21,,South,36,Basic,Broadband,2 Year,Auto-debit,478,2,3.3,46.5,1,0,0
C100072,2024-04-03,,West,54,Standard,Fiber,Month-to-Month,UPI,974,2,4.0,83.6,1,1,0
C100073,2025-07-23,,South,18,Standard,Broadband,1 Year,UPI,1007,2,2.6,99.8,3,1,0
C100074,2024-11-11,,North,22,Premium,Fiber,1 Year,UPI,2008,0,3.8,110.6,4,0,0
C100075,2023-08-17,,South,18,Basic,5G,1 Year,Auto-debit,688,2,2.9,74.5,2,0,0
C100076,2023-12-15,,South,52,Standard,5G,1 Year,UPI,1416,2,3.6,128.0,4,1,0
C100077,2024-10-01,,West,37,Basic,Fiber,1 Year,Net Banking,558,1,2.7,38.4,1,1,0
C100078,2025-02-06,,East,50,Basic,5G,1 Year,UPI,716,1,2.4,64.6,2,1,0
C100079,2022-07-24,,West,37,Standard,5G,Month-to-Month,UPI,1328,2,2.9,89.5,3,0,0
C100080,2025-07-12,,West,50,Basic,5G,Month-to-Month,Net Banking,440,1,3.9,167.3,0,0,0
C100081,2025-10-27,,South,36,Standard,Fiber,Month-to-Month,Net Banking,1152,1,3.0,115.4,2,1,0
C100082,2023-08-24,,West,43,Standard,Fiber,Month-to-Month,Net Banking,1299,1,3.7,89.4,4,1,0
C100083,2023-02-19,,North,41,Basic,Broadband,1 Year,UPI,618,3,2.6,33.3,2,0,0
C100084,2024-10-20,2025-11-01,North,42,Premium,5G,Month-to-Month,Auto-debit,2186,0,2.8,70.3,4,1,1
C100085,2022-12-19,,North,58,Standard,Broadband,2 Year,Credit Card,1137,3,3.6,96.0,3,0,0
C100086,2022-02-10,2024-03-30,West,19,Premium,5G,Month-to-Month,Auto-debit,1754,3,3.7,50.2,0,1,1
C100087,2024-08-25,,East,37,Standard,Broadband,1 Year,UPI,1004,0,3.8,166.0,2,0,0
C100088,2025-02-22,,North,40,Premium,Fiber,Month-to-Month,Credit Card,1744,0,4.0,42.1,1,0,0
C100089,2025-07-01,,East,39,Basic,5G,Month-to-Month,UPI,835,2,3.2,26.4,4,0,0
C100090,2025-09-28,,North,33,Standard,5G,Month-to-Month,Auto-debit,1060,1,2.8,121.5,1,0,0
C100091,2024-03-10,,West,32,Standard,Fiber,1 Year,Net Banking,1106,5,3.5,72.4,2,1,0
C100092,2023-01-25,,South,56,Basic,Fiber,Month-to-Month,Credit Card,703,3,3.0,48.5,3,1,0
C100093,2025-10-21,,South,37,Basic,5G,1 Year,UPI,884,0,4.1,31.4,4,0,0
C100094,2022-06-13,,South,67,Premium,Broadband,1 Year,UPI,1584,1,3.4,110.6,2,0,0
C100095,2025-06-30,,East,44,Standard,5G,2 Year,UPI,1398,0,4.1,103.8,4,1,0
C100096,2025-07-21,,South,35,Standard,Fiber,1 Year,Auto-debit,917,1,4.4,48.6,0,1,0
C100097,2025-04-28,,North,45,Standard,Broadband,1 Year,UPI,1238,0,3.9,64.6,4,0,0
C100098,2025-10-25,,North,39,Premium,Fiber,2 Year,UPI,1731,1,4.0,118.2,1,1,0
C100099,2025-08-16,,Central,54,Premium,Fiber,Month-to-Month,UPI,1903,0,4.6,103.0,3,0,0
C100100,2025-11-27,,Central,24,Standard,Broadband,1 Year,UPI,984,0,4.3,107.3,2,0,0
C100101,2023-04-27,,West,18,Basic,Broadband,Month-to-Month,Auto-debit,694,3,3.8,55.6,3,0,0
C100102,2023-04-15,,South,42,Basic,Broadband,1 Year,UPI,398,3,3.3,42.0,0,2,0
C100103,2024-11-20,,Central,48,Standard,Broadband,Month-to-Month,Auto-debit,1098,1,3.8,31.4,2,1,0
C100104,2024-08-06,2025-11-30,West,41,Premium,5G,Month-to-Month,Net Banking,1690,3,3.4,212.9,0,1,1
C100105,2022-08-09,,West,46,Standard,Fiber,1 Year,Credit Card,1080,1,4.2,46.4,2,1,0
C100106,2024-03-31,2024-12-26,South,44,Basic,Fiber,Month-to-Month,Credit Card,614,3,2.7,107.5,2,2,1
C100107,2024-04-18,2025-05-30,South,20,Basic,Broadband,Month-to-Month,Net Banking,509,5,2.9,29.0,1,1,1
C100108,2023-12-23,,North,41,Standard,Broadband,Month-to-Month,Net Banking,1006,0,5.0,83.7,2,1,0
C100109,2023-06-21,,Central,54,Premium,Fiber,2 Year,UPI,1685,3,3.5,162.1,1,0,0
C100110,2024-07-25,,South,40,Basic,Fiber,Month-to-Month,Auto-debit,495,1,2.7,40.1,0,1,0
C100111,2025-01-27,2025-09-06,North,22,Standard,Fiber,Month-to-Month,UPI,934,3,2.8,86.1,0,1,1
C100112,2024-07-08,,South,34,Standard,Fiber,2 Year,UPI,1055,1,4.0,64.0,1,1,0
C100113,2023-07-17,,East,45,Premium,Broadband,2 Year,Credit Card,1744,2,3.0,303.3,3,0,0
C100114,2023-02-27,,North,60,Basic,Fiber,Month-to-Month,Net Banking,572,2,,48.9,2,1,0
C100115,2024-05-08,2025-06-06,West,18,Premium,5G,Month-to-Month,UPI,1776,3,2.3,,0,2,1
C100116,2024-01-30,2025-10-10,West,42,Standard,Broadband,Month-to-Month,UPI,945,2,3.2,83.3,2,1,1
C100117,2024-02-08,,West,27,Standard,5G,2 Year,UPI,1207,1,4.7,129.8,2,2,0
C100118,2022-10-03,2024-07-02,South,44,Basic,5G,Month-to-Month,Credit Card,595,1,3.2,53.8,1,1,1
C100119,2024-06-23,2025-05-29,East,45,Standard,Fiber,Month-to-Month,UPI,918,6,2.9,80.8,0,0,1
C100120,2022-06-05,2024-11-28,East,35,Standard,Fiber,Month-to-Month,Auto-debit,970,3,2.9,36.0,1,1,1
C100121,2025-03-19,2025-07-30,East,46,Basic,Fiber,1 Year,UPI,500,1,3.3,78.8,0,0,1
C100122,2025-01-30,,North,52,Standard,Fiber,Month-to-Month,Auto-debit,966,2,3.7,87.8,1,0,0
C100123,2023-01-18,,South,36,Standard,Fiber,1 Year,Net Banking,1147,0,2.7,59.0,2,1,0
C100124,2023-12-29,,North,22,Standard,Fiber,Month-to-Month,Auto-debit,1258,1,4.7,86.8,4,0,0
C100125,2024-09-26,,East,55,Basic,Fiber,1 Year,Auto-debit,854,2,3.7,88.6,4,0,0
C100126,2022-09-24,,South,48,Standard,Fiber,2 Year,UPI,1288,0,4.5,105.4,3,0,0
C100127,2023-03-19,2023-12-04,North,45,Basic,Broadband,Month-to-Month,Credit Card,592,1,3.4,118.3,1,1,1
C100128,2023-04-24,2024-01-10,North,30,Premium,Fiber,Month-to-Month,UPI,1940,3,3.6,182.6,4,1,1
C100129,2022-07-25,2025-08-26,East,50,Premium,Fiber,Month-to-Month,UPI,1977,1,4.4,44.9,4,2,1
C100130,2024-11-13,,North,63,Basic,Broadband,1 Year,UPI,477,1,3.5,83.1,1,0,0
C100131,2024-06-12,,Central,37,Basic,Fiber,Month-to-Month,Net Banking,549,3,2.4,18.5,0,2,0
C100132,2023-10-10,,East,39,Basic,5G,1 Year,Auto-debit,694,2,2.6,86.9,2,1,0
C100133,2024-05-21,2025-09-27,South,25,Standard,Broadband,Month-to-Month,UPI,1040,2,3.0,,2,0,1
C100134,2022-04-07,,East,29,Premium,5G,1 Year,Net Banking,2058,3,3.4,273.1,3,0,0
C100135,2022-11-06,2023-12-09,North,25,Standard,Fiber,1 Year,UPI,871,2,,92.0,0,1,1
C100136,2025-07-19,,Central,40,Basic,5G,Month-to-Month,UPI,622,1,3.2,51.0,2,1,0
C100137,2025-04-19,,East,34,Basic,5G,Month-to-Month,UPI,573,3,3.5,82.1,1,0,0
C100138,2025-09-24,2025-10-21,West,42,Basic,Fiber,1 Year,Credit Card,750,4,2.5,24.6,2,0,1
C100139,2022-05-24,,North,27,Premium,Fiber,Month-to-Month,Credit Card,1619,2,3.1,120.3,0,1,0
C100140,2025-09-25,,East,36,Standard,Fiber,1 Year,UPI,1159,0,4.5,65.7,2,1,0
C100141,2024-01-13,,East,27,Standard,Broadband,2 Year,UPI,742,2,3.7,59.5,0,1,0
C100142,2025-10-31,,Central,40,Basic,Fiber,Month-to-Month,Credit Card,842,1,2.7,33.2,4,0,0
C100143,2023-09-24,2025-01-25,East,18,Premium,Fiber,Month-to-Month,Auto-debit,1937,2,2.6,127.6,3,0,1
C100144,2025-08-17,,East,40,Basic,5G,Month-to-Month,UPI,851,1,2.8,63.3,4,0,0
C100145,2023-10-26,,South,35,Premium,Broadband,Month-to-Month,Net Banking,1693,2,3.5,248.1,3,1,0
C100146,2025-06-26,,South,40,Premium,Fiber,2 Year,Net Banking,1970,2,4.3,102.3,4,3,0
C100147,2025-12-09,2025-12-15,East,18,Standard,Fiber,2 Year,Credit Card,1051,2,4.3,61.3,1,3,1
C100148,2025-05-27,2025-10-24,South,46,Premium,5G,Month-to-Month,UPI,1765,1,4.3,28.8,0,0,1
C100149,2025-06-10,,North,34,Basic,5G,2 Year,Auto-debit,922,2,4.6,92.0,4,1,0
C100150,2025-09-18,2025-10-21,West,41,Standard,5G,Month-to-Month,Credit Card,1331,0,3.9,37.4,3,0,1
C100151,2023-09-14,,Central,18,Basic,Broadband,2 Year,UPI,687,5,3.3,56.2,3,0,0
C100152,2025-07-01,,North,23,Standard,Fiber,2 Year,Auto-debit,1058,2,2.9,85.3,1,0,0
C100153,2025-05-06,,East,33,Basic,Fiber,Month-to-Month,Auto-debit,534,3,2.0,72.6,1,0,0
C100154,2024-04-13,,North,55,Basic,Fiber,1 Year,Net Banking,781,2,3.1,28.5,3,1,0
C100155,2025-05-10,2025-08-31,West,44,Basic,Fiber,1 Year,Auto-debit,578,2,3.2,58.9,2,0,1
C100156,2022-03-24,,South,40,Basic,5G,Month-to-Month,UPI,469,1,5.0,99.8,0,0,0
C100157,2025-09-12,,East,27,Standard,Broadband,Month-to-Month,Auto-debit,991,2,3.3,82.8,1,0,0
C100158,2025-11-19,2025-12-06,West,25,Standard,Fiber,1 Year,UPI,1042,2,2.6,47.6,1,0,1
C100159,2025-11-17,,West,41,Basic,5G,Month-to-Month,Auto-debit,919,1,4.2,21.2,4,2,0
C100160,2025-05-30,,North,46,Premium,Fiber,Month-to-Month,UPI,1675,3,2.7,248.3,1,1,0
C100161,2023-11-12,,Central,41,Premium,5G,Month-to-Month,UPI,1903,1,3.9,94.7,2,1,0
C100162,2025-10-16,,South,59,Basic,Fiber,1 Year,Credit Card,646,2,3.9,39.2,2,1,0
C100163,2024-10-13,,North,30,Standard,5G,Month-to-Month,Auto-debit,996,1,,260.9,0,1,0
C100164,2024-12-24,,East,40,Standard,Fiber,Month-to-Month,Credit Card,1193,1,4.6,116.9,2,0,0
C100165,2022-11-28,,South,18,Standard,Broadband,Month-to-Month,Auto-debit,939,4,3.6,130.7,1,1,0
C100166,2025-04-15,2025-08-07,West,41,Basic,Broadband,Month-to-Month,UPI,799,5,2.8,100.5,4,1,1
C100167,2022-06-26,,West,56,Standard,Broadband,1 Year,UPI,901,1,4.8,33.8,1,0,0
C100168,2025-06-11,,South,26,Basic,Broadband,Month-to-Month,Credit Card,528,1,3.3,95.3,1,0,0
C100169,2024-09-20,,Central,48,Basic,Fiber,1 Year,UPI,604,2,3.9,102.0,2,1,0
C100170,2025-05-27,,South,55,Standard,5G,Month-to-Month,Net Banking,1021,1,3.7,59.0,1,3,0
C100171,2025-09-07,,East,30,Standard,Fiber,1 Year,Auto-debit,1147,1,3.1,107.3,2,0,0
C100172,2023-05-31,,South,44,Premium,Broadband,Month-to-Month,Net Banking,1699,2,3.1,191.3,3,3,0
C100173,2024-01-14,,Central,57,Basic,Fiber,2 Year,Credit Card,802,0,5.0,31.0,4,0,0
C100174,2022-09-01,,North,41,Basic,Fiber,Month-to-Month,Credit Card,771,0,4.5,69.9,4,0,0
C100175,2025-01-10,,North,47,Basic,5G,2 Year,Auto-debit,634,2,,32.2,1,1,0
C100176,2024-10-19,,South,18,Basic,Fiber,Month-to-Month,Net Banking,735,0,3.4,161.6,3,2,0
C100177,2023-07-31,,Central,45,Basic,5G,Month-to-Month,Auto-debit,614,2,3.8,47.9,1,1,0
C100178,2025-03-06,,Central,44,Standard,Fiber,1 Year,UPI,1304,0,3.5,97.9,4,1,0
C100179,2024-07-14,,West,22,Standard,5G,Month-to-Month,Net Banking,997,4,4.0,32.7,0,0,0
C100180,2022-11-25,,Central,26,Standard,Broadband,Month-to-Month,UPI,1171,4,3.6,89.8,4,1,0
C100181,2025-02-03,,Central,45,Basic,5G,2 Year,Net Banking,595,2,3.9,81.4,1,0,0
C100182,2023-10-09,,East,34,Basic,Fiber,1 Year,Auto-debit,779,0,4.4,28.3,3,4,0
C100183,2024-11-24,,South,51,Standard,Fiber,1 Year,Auto-debit,1205,0,3.7,56.8,3,1,0
C100184,2022-03-27,,West,42,Basic,Fiber,2 Year,UPI,545,2,3.6,31.0,1,0,0
C100185,2023-06-16,2025-08-01,West,39,Premium,Fiber,Month-to-Month,Auto-debit,2029,1,4.8,66.2,4,0,1
C100186,2022-07-02,,South,36,Basic,5G,Month-to-Month,UPI,625,1,3.9,23.1,1,0,0
C100187,2025-06-05,,North,42,Standard,Fiber,2 Year,Credit Card,1170,0,3.2,123.3,3,0,0
C100188,2023-08-16,,West,48,Premium,Fiber,Month-to-Month,Net Banking,2004,1,4.6,62.6,4,2,0
C100189,2022-11-21,,South,44,Standard,Fiber,Month-to-Month,Credit Card,898,1,3.1,30.2,0,0,0
C100190,2022-02-25,,Central,33,Standard,Broadband,Month-to-Month,UPI,1196,4,2.8,56.5,4,0,0
C100191,2025-07-03,,South,53,Standard,Fiber,Month-to-Month,Net Banking,1372,2,3.0,75.6,4,3,0
C100192,2024-07-17,2025-04-22,North,46,Basic,Fiber,Month-to-Month,Net Banking,572,2,1.5,59.1,1,3,1
C100193,2025-12-05,,West,43,Standard,5G,Month-to-Month,Credit Card,1481,3,3.2,47.3,4,1,0
C100194,2024-03-11,,North,39,Premium,Fiber,1 Year,Credit Card,1618,2,5.0,87.9,0,0,0
C100195,2024-11-14,2025-09-18,North,44,Premium,Broadband,1 Year,Net Banking,1392,3,3.5,154.5,0,1,1
C100196,2025-04-07,,East,18,Standard,Fiber,2 Year,Credit Card,1215,1,5.0,115.8,3,0,0
C100197,2024-09-19,,West,41,Basic,5G,Month-to-Month,UPI,900,0,3.7,82.3,4,1,0
C100198,2024-12-16,,North,58,Standard,5G,Month-to-Month,Credit Card,1012,0,4.0,93.7,0,0,0
C100199,2025-03-02,2025-06-21,South,41,Standard,Broadband,1 Year,Net Banking,1056,2,3.2,32.2,3,1,1
C100200,2025-06-02,2025-12-23,West,39,Basic,5G,Month-to-Month,UPI,489,0,3.8,28.5,0,0,1
C100201,2024-12-24,,Central,31,Basic,Broadband,Month-to-Month,UPI,667,3,3.3,82.8,3,0,0
C100202,2025-08-08,,East,44,Basic,5G,1 Year,Auto-debit,936,2,4.4,107.2,4,0,0
C100203,2022-08-26,,North,36,Standard,5G,1 Year,Auto-debit,1120,1,3.0,70.5,2,0,0
C100204,2023-10-07,2025-09-16,North,54,Basic,5G,Month-to-Month,Net Banking,505,1,3.6,40.5,0,2,1
C100205,2023-11-25,,South,28,Basic,5G,1 Year,Auto-debit,537,2,3.7,26.8,1,0,0
C100206,2023-12-15,,North,33,Basic,5G,1 Year,Auto-debit,714,1,4.4,90.0,2,2,0
C100207,2024-11-30,,West,31,Premium,Fiber,2 Year,Credit Card,1890,1,2.2,,3,1,0
C100208,2025-04-10,,North,60,Basic,Fiber,Month-to-Month,UPI,584,2,2.3,117.9,2,1,0
C100209,2025-12-10,2025-12-17,East,36,Basic,Fiber,1 Year,Net Banking,695,5,2.6,42.5,2,2,1
C100210,2024-10-27,,West,31,Standard,Fiber,1 Year,Auto-debit,1115,0,4.6,47.9,3,1,0
C100211,2025-01-05,2025-06-12,East,18,Basic,5G,Month-to-Month,Net Banking,893,1,3.2,18.1,4,0,1
C100212,2025-11-29,,North,27,Premium,Fiber,1 Year,UPI,1933,1,4.2,103.0,3,2,0
C100213,2023-06-13,,West,44,Premium,5G,1 Year,Auto-debit,1804,1,5.0,110.7,0,0,0
C100214,2023-06-19,,West,44,Standard,5G,Month-to-Month,Auto-debit,934,2,3.3,62.8,0,1,0
C100215,2022-07-10,2024-09-03,West,30,Standard,5G,Month-to-Month,Credit Card,1077,3,2.9,73.9,1,2,1
C100216,2024-03-03,,North,31,Basic,5G,Month-to-Month,Auto-debit,641,1,3.9,88.4,1,0,0
C100217,2025-11-06,,North,60,Basic,Fiber,1 Year,Net Banking,802,1,3.7,60.3,3,0,0
C100218,2025-12-11,2025-12-27,Central,70,Basic,Fiber,Month-to-Month,Auto-debit,906,4,3.0,48.7,4,0,1
C100219,2023-03-19,,South,52,Basic,5G,Month-to-Month,Auto-debit,799,1,3.4,78.3,2,0,0
C100220,2025-02-08,,South,57,Basic,Broadband,Month-to-Month,UPI,775,1,3.4,28.0,4,1,0
C100221,2025-09-07,,East,59,Standard,5G,1 Year,Auto-debit,1212,3,2.3,105.3,2,1,0
C100222,2024-03-14,,West,65,Basic,5G,1 Year,UPI,782,0,4.2,62.6,3,0,0
C100223,2024-03-27,2025-08-22,Central,34,Basic,5G,Month-to-Month,Auto-debit,717,1,2.8,93.6,3,1,1
C100224,2025-10-06,,South,27,Standard,5G,Month-to-Month,Auto-debit,1094,2,2.7,37.1,1,0,0
C100225,2024-07-10,,Central,60,Standard,5G,Month-to-Month,Auto-debit,1216,2,2.5,47.8,3,1,0
C100226,2023-02-20,,North,26,Basic,5G,Month-to-Month,Auto-debit,676,0,3.6,29.5,2,0,0
C100227,2023-06-27,,East,26,Basic,Fiber,1 Year,Auto-debit,598,0,3.8,56.2,2,1,0
C100228,2025-07-07,,East,26,Basic,Fiber,Month-to-Month,UPI,575,3,2.3,49.5,1,0,0
C100229,2025-09-02,,North,36,Basic,Fiber,1 Year,Credit Card,527,1,3.4,58.7,1,0,0
C100230,2025-04-24,,North,18,Premium,5G,1 Year,UPI,2073,1,3.9,41.1,4,2,0
C100231,2024-06-22,,South,21,Premium,Broadband,2 Year,Auto-debit,1731,0,2.9,246.2,3,0,0
C100232,2023-11-11,,Central,31,Standard,Fiber,Month-to-Month,Net Banking,895,0,3.3,82.9,0,0,0
C100233,2022-03-27,2023-03-14,East,24,Standard,Fiber,Month-to-Month,Net Banking,1100,1,4.8,97.2,2,2,1
C100234,2023-06-20,,Central,51,Standard,Broadband,Month-to-Month,UPI,1057,6,1.8,88.7,3,0,0
C100235,2025-04-10,,West,38,Standard,Fiber,2 Year,Net Banking,1262,3,3.5,53.8,3,2,0
C100236,2025-11-27,,East,45,Basic,Broadband,1 Year,Credit Card,806,4,2.4,57.3,4,0,0
C100237,2024-10-28,,West,44,Basic,Fiber,1 Year,Auto-debit,731,4,2.9,45.9,3,0,0
C100238,2023-10-25,,North,36,Standard,Fiber,1 Year,Auto-debit,842,4,,76.1,0,0,0
C100239,2024-06-27,,North,50,Standard,5G,Month-to-Month,Credit Card,1297,1,2.2,94.3,2,1,0
C100240,2022-07-09,,West,43,Basic,Fiber,1 Year,Auto-debit,637,1,3.2,42.0,1,0,0
C100241,2023-10-28,,West,34,Basic,Fiber,2 Year,UPI,517,3,3.4,22.4,0,3,0
C100242,2024-02-02,,South,18,Basic,Fiber,Month-to-Month,UPI,827,3,3.5,40.4,4,1,0
C100243,2023-10-29,,East,44,Basic,Fiber,2 Year,Net Banking,439,1,3.7,99.7,0,0,0
C100244,2023-01-01,,East,23,Standard,Fiber,2 Year,Net Banking,1034,2,2.8,55.9,1,2,0
C100245,2025-04-13,,West,43,Standard,Broadband,2 Year,UPI,862,4,3.4,77.2,1,1,0
